time_step,gamma_dose,is_anomaly
0.000000000000000000e+00,1.059867621055854841e+02,0.000000000000000000e+00
1.000000000000000000e+00,9.800908710187086115e+01,0.000000000000000000e+00
2.000000000000000000e+00,9.836686053842227295e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.003948235446296025e+02,0.000000000000000000e+00
4.000000000000000000e+00,1.000004179026076940e+02,0.000000000000000000e+00
5.000000000000000000e+00,9.306814018107581887e+01,0.000000000000000000e+00
6.000000000000000000e+00,9.779144839882916074e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.030030977755469479e+02,0.000000000000000000e+00
8.000000000000000000e+00,9.542249377136427313e+01,0.000000000000000000e+00
9.000000000000000000e+00,9.751892960545694677e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.015978993907948649e+02,0.000000000000000000e+00
1.100000000000000000e+01,9.304086126967985138e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.019303551157558161e+02,0.000000000000000000e+00
1.300000000000000000e+01,9.817273430743244944e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.047375062751988963e+02,0.000000000000000000e+00
1.500000000000000000e+01,9.162486800232346695e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.066898882583753334e+02,0.000000000000000000e+00
1.700000000000000000e+01,9.623776424503488158e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.029008591159602730e+02,0.000000000000000000e+00
1.900000000000000000e+01,1.019138823127290721e+02,0.000000000000000000e+00
2.000000000000000000e+01,1.010175024572418465e+02,0.000000000000000000e+00
2.100000000000000000e+01,1.010674315196501993e+02,0.000000000000000000e+00
2.200000000000000000e+01,1.033666443131314736e+02,0.000000000000000000e+00
2.300000000000000000e+01,1.107910486128320002e+02,0.000000000000000000e+00
2.400000000000000000e+01,9.609003577757718517e+01,0.000000000000000000e+00
2.500000000000000000e+01,9.676067670672482279e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.612726407150913133e+01,0.000000000000000000e+00
2.700000000000000000e+01,1.002249581059754320e+02,0.000000000000000000e+00
2.800000000000000000e+01,9.386052613912934817e+01,0.000000000000000000e+00
2.900000000000000000e+01,1.011839142359600032e+02,0.000000000000000000e+00
3.000000000000000000e+01,9.548063945657489171e+01,0.000000000000000000e+00
3.100000000000000000e+01,1.015247437238544137e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.017276233155879765e+02,0.000000000000000000e+00
3.300000000000000000e+01,1.048428997719150715e+02,0.000000000000000000e+00
3.400000000000000000e+01,9.792627664708690816e+01,0.000000000000000000e+00
3.500000000000000000e+01,1.009966542645921095e+02,0.000000000000000000e+00
3.600000000000000000e+01,1.040122599968444916e+02,0.000000000000000000e+00
3.700000000000000000e+01,1.013829417287049353e+02,0.000000000000000000e+00
3.800000000000000000e+01,9.936305982404466874e+01,0.000000000000000000e+00
3.900000000000000000e+01,9.902513161024324972e+01,0.000000000000000000e+00
4.000000000000000000e+01,9.217519741495560481e+01,0.000000000000000000e+00
4.100000000000000000e+01,1.025176282953042062e+02,0.000000000000000000e+00
4.200000000000000000e+01,9.759448950225454666e+01,0.000000000000000000e+00
4.300000000000000000e+01,1.086828269553127910e+02,0.000000000000000000e+00
4.400000000000000000e+01,9.466488660394820442e+01,0.000000000000000000e+00
4.500000000000000000e+01,9.308221554203620940e+01,0.000000000000000000e+00
4.600000000000000000e+01,9.928093946148874238e+01,0.000000000000000000e+00
4.700000000000000000e+01,1.062659350966572447e+02,0.000000000000000000e+00
4.800000000000000000e+01,9.810358838774956780e+01,0.000000000000000000e+00
4.900000000000000000e+01,9.484844814730847418e+01,0.000000000000000000e+00
5.000000000000000000e+01,1.008682734540269621e+02,0.000000000000000000e+00
5.100000000000000000e+01,9.456780800487707950e+01,0.000000000000000000e+00
5.200000000000000000e+01,9.981045269747349380e+01,0.000000000000000000e+00
5.300000000000000000e+01,1.012509219938280296e+02,0.000000000000000000e+00
5.400000000000000000e+01,9.947659551692001401e+01,0.000000000000000000e+00
5.500000000000000000e+01,1.005802328174644487e+02,0.000000000000000000e+00
5.600000000000000000e+01,9.623557896752652141e+01,0.000000000000000000e+00
5.700000000000000000e+01,8.974060194873042917e+01,0.000000000000000000e+00
5.800000000000000000e+01,1.066709337124429595e+02,0.000000000000000000e+00
5.900000000000000000e+01,9.667901978053619416e+01,0.000000000000000000e+00
6.000000000000000000e+01,9.767021537645474893e+01,0.000000000000000000e+00
6.100000000000000000e+01,1.048585203428496868e+02,0.000000000000000000e+00
6.200000000000000000e+01,1.051701597480994224e+02,0.000000000000000000e+00
6.300000000000000000e+01,9.536145500118742291e+01,0.000000000000000000e+00
6.400000000000000000e+01,9.826808354888744645e+01,0.000000000000000000e+00
6.500000000000000000e+01,8.806786482323842336e+01,0.000000000000000000e+00
6.600000000000000000e+01,1.066876209821354138e+02,0.000000000000000000e+00
6.700000000000000000e+01,1.022036518466444193e+02,0.000000000000000000e+00
6.800000000000000000e+01,1.075141270346668279e+02,0.000000000000000000e+00
6.900000000000000000e+01,1.025105525853859803e+02,0.000000000000000000e+00
7.000000000000000000e+01,1.027564745021349637e+02,0.000000000000000000e+00
7.100000000000000000e+01,1.070598304874305171e+02,0.000000000000000000e+00
7.200000000000000000e+01,1.079114449374818889e+02,0.000000000000000000e+00
7.300000000000000000e+01,1.003475235069527400e+02,0.000000000000000000e+00
7.400000000000000000e+01,1.047668978280975978e+02,0.000000000000000000e+00
7.500000000000000000e+01,1.008224625972551109e+02,0.000000000000000000e+00
7.600000000000000000e+01,9.180615128309912620e+01,0.000000000000000000e+00
7.700000000000000000e+01,9.717562751012634692e+01,0.000000000000000000e+00
7.800000000000000000e+01,9.975858987572757997e+01,0.000000000000000000e+00
7.900000000000000000e+01,9.359653072795113360e+01,0.000000000000000000e+00
8.000000000000000000e+01,1.020044079966931605e+02,0.000000000000000000e+00
8.100000000000000000e+01,9.750697513115643744e+01,0.000000000000000000e+00
8.200000000000000000e+01,1.000230905918584199e+02,0.000000000000000000e+00
8.300000000000000000e+01,9.641489691485445235e+01,0.000000000000000000e+00
8.400000000000000000e+01,9.884133442489304855e+01,0.000000000000000000e+00
8.500000000000000000e+01,1.031670559508310561e+02,0.000000000000000000e+00
8.600000000000000000e+01,9.606180026432086549e+01,0.000000000000000000e+00
8.700000000000000000e+01,9.275180651060964010e+01,0.000000000000000000e+00
8.800000000000000000e+01,9.196776972915607473e+01,0.000000000000000000e+00
8.900000000000000000e+01,1.018229823834751784e+02,0.000000000000000000e+00
9.000000000000000000e+01,1.136854059852391146e+02,0.000000000000000000e+00
